category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha120/cha120DayChg.c,89,mpf_mfs_writerecm,1,WRITEREC,&recman_fcb,,,"{""UNREACHABLE"": 1}",&recman_fcb; ChaRecManageNo,2839,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha120/cha120DayChg.c:1670 mpf_mfs_openm_H arg 2 > t-cha/src/cha120/cha120DayChg.c:2919 mpf_mfs_writerecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dCom.c,82,mpf_mfs_getrecm,1,GETREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dCom.c:2513 mpf_mfs_getrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dCom.c,112,mpf_mfs_getrecm,1,GETREC,&PictDat_idx,,,"{""UNREACHABLE"": 1}",&PictDat_idx; ChaPictDataNo,2824,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:3179 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dCom.c:3498 mpf_mfs_getrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dCom.c,551,mpf_mfs_getrecm,1,GETREC,&Tm_idx,,,"{""UNREACHABLE"": 1}",&Tm_idx; ChaRecTMDefNo,2837,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:18345 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dCom.c:18596 mpf_mfs_getrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,95,mpf_mfs_readrecm,1,READREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:3784 mpf_mfs_readrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,96,mpf_mfs_writerecm,1,WRITEREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:3835 mpf_mfs_writerecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,175,mpf_mfs_readrecm,1,READREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:6913 mpf_mfs_readrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,176,mpf_mfs_writerecm,1,WRITEREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:6964 mpf_mfs_writerecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,286,mpf_mfs_readrecm,1,READREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:11113 mpf_mfs_readrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,287,mpf_mfs_writerecm,1,WRITEREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:11164 mpf_mfs_writerecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,400,mpf_mfs_readrecm,1,READREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:15427 mpf_mfs_readrecm handle 1
legacy_resolved_only,mfs_file,/home/chukyu/t-cha/src/cha200d/cha200dProc.c,401,mpf_mfs_writerecm,1,WRITEREC,&PictMan_idx,,,"{""UNREACHABLE"": 1}",&PictMan_idx; ChaPictManageNo,2823,"{""ADDED"": 1, ""OK_MACRO"": 1}",False,t-cha/src/cha200d/cha200dCom.c:2183 mpf_mfs_openm_H arg 2 > t-cha/src/cha200d/cha200dProc.c:15478 mpf_mfs_writerecm handle 1
